,fx,dxy,gold,oil,vix,em_fx,reserves,net_reserves,policy_rate,cpi,fx_returns,fx_vol,em_fx_returns,em_fx_vol,vol_suppression_ratio,cpi_yoy,real_rate,reserve_change,reserve_burn_proxy,ma_50,ma_200,dist_ma_200,log_trend,trend_deviation,ath,dist_ath,vol_adj_ret,fx_accel,regime,vol_score,reserve_score,trend_score,intervention_intensity,position,strategy_returns,carry_returns,trades,costs,net_returns,cum_returns,equity_curve
2019-09-25,5.6956000328063965,99.04000091552734,1504.5999755859375,56.4900016784668,15.96,125.2942,113705230.0,156518.0,1.46632,174.07,-0.004135006264191651,0.10567748205359095,0.0029814334073602327,0.038061298490196606,2.77650753509658,0.0,1.46632,0.0,0.0,5.677317171096802,5.625979444980621,0.012374838640388063,7.963783711819918,-0.28481231548856145,6.9532999992370605,-0.18087813938254688,-0.027407095840408444,-0.0003828514991215848,0.0,0.1428571428571429,0.5079365079365079,0.9523809523809523,0.4507936507936508,0.0,-0.0,0.0,1.0,0.0005,-0.0005,0.21019443432552148,21019.443432552147
2019-09-26,5.672399997711182,99.20999908447266,1507.5,56.40999984741211,16.07,125.4035,113705230.0,156518.0,1.46632,174.07,-0.004081644483103856,0.10602121537690835,0.000871966571095609,0.03809524053598236,2.7830567253346885,0.0,1.46632,0.0,0.0,5.677105169296265,5.627852945327759,0.007915461334220815,7.970675150118015,-0.28834133986413996,6.9532999992370605,-0.18421468966770074,-0.022207021483390894,5.336178108779517e-05,1.0,0.1428571428571429,0.5079365079365079,0.9523809523809523,0.4507936507936508,-1.0,0.004081644483103856,0.0017857142857142857,1.0,0.0005,0.005367358768818142,0.21132262326575532,21132.262326575532
2019-09-27,5.66519021987915,99.11000061035156,1499.0999755859375,55.90999984741211,17.22,125.3797,113705230.0,156518.0,1.46632,174.07,-0.001271836195438353,0.106020698902244,-0.00018980537828252022,0.03790177878690354,2.7972486330609385,0.0,1.46632,0.0,0.0,5.6779569721221925,5.629857895374298,0.006275882120201124,7.977572551903259,-0.28986039512388134,6.9532999992370605,-0.18525157543889173,0.005040017627731207,0.002809808287665503,0.0,0.1428571428571429,0.5079365079365079,0.9682539682539683,0.453968253968254,0.0,-0.0,0.0,1.0,0.0005,-0.0005,0.21121696195412246,21121.696195412245
2019-09-30,5.667699813842773,99.37999725341795,1465.699951171875,54.06999969482422,16.24,125.6316,113705230.0,156518.0,1.46632,174.07,0.00044288685360509153,0.10564217682155572,0.0020070816298895077,0.03877009837216612,2.7248364398631106,0.0,1.46632,0.0,0.0,5.678234968185425,5.631641445159912,0.006402816840168672,7.98447592233614,-0.2901600719982523,6.9532999992370605,-0.18489065415491168,0.0054934123304925635,0.0017147230490434445,1.0,0.47619047619047616,0.5079365079365079,0.9682539682539683,0.5873015873015873,-1.0,-0.00044288685360509153,0.0017857142857142857,1.0,0.0005,0.0008428274321091941,0.21139498140378418,21139.49814037842
2019-10-01,5.6483001708984375,99.12999725341795,1482.0,53.619998931884766,18.56,125.7979,113705230.0,156518.0,1.46632,174.07,-0.0034287136754683144,0.1056815144348733,0.0013228362165189466,0.03918308091032047,2.6971211037934935,0.0,1.46632,0.0,0.0,5.677810974121094,5.633435945510865,0.0026385718292257715,7.991385266581612,-0.29320136841374567,6.9532999992370605,-0.18768064494294967,0.009852763698452758,-0.003871600529073406,0.0,0.5238095238095238,0.5079365079365079,1.0,0.6126984126984127,0.0,-0.0,0.0,1.0,0.0005,-0.0005,0.2112892839130823,21128.92839130823
2019-10-02,5.717619895935059,99.04000091552734,1501.0,52.63999938964844,20.56,125.8267,113705230.0,156518.0,1.46632,174.07,0.012197971503694621,0.1151000727503106,0.0002289124364292004,0.038944614563398774,2.9554811118476145,0.0,1.46632,0.0,0.0,5.677810773849488,5.63560254573822,0.0145534305393594,7.998300589809091,-0.28514565916413864,6.9532999992370605,-0.17771131742303437,0.0453758071146613,0.015626685179162936,0.0,0.0,0.5079365079365079,0.8888888888888888,0.38095238095238093,-1.0,-0.012197971503694621,0.0017857142857142857,1.0,0.0005,-0.010912257217980335,0.20898364089961988,20898.364089961986
2019-10-03,5.702700138092041,98.86000061035156,1507.0999755859375,52.45000076293945,19.12,125.519,113705230.0,156518.0,1.46632,174.07,-0.0026128455746624846,0.10374469527717119,-0.0024484218645145876,0.033975526091405486,3.053512548946656,0.0,1.46632,0.0,0.0,5.677684373855591,5.637745296955108,0.01152142172368344,8.005221897192476,-0.287627474749695,6.9532999992370605,-0.1798570263446478,-0.01613080233535555,-0.014810817078357106,0.0,0.0,0.5079365079365079,0.8888888888888888,0.38095238095238093,-1.0,0.0026128455746624846,0.0017857142857142857,0.0,0.0,0.0043985598603767705,0.20990286795395635,20990.286795395634
2019-10-04,5.694399833679199,98.80999755859376,1506.199951171875,52.810001373291016,17.04,125.0401,113705230.0,156518.0,1.46632,174.07,-0.0014565645472761765,0.09891017093803571,-0.003822655678187083,0.03559001054154279,2.77915542684602,0.0,1.46632,0.0,0.0,5.67760817527771,5.639750397205352,0.009690045236918118,8.01214919391014,-0.2892793561548519,6.9532999992370605,-0.18105074794644155,-0.014686098495465138,0.0011562810273863082,0.0,0.33333333333333337,0.5079365079365079,0.9047619047619048,0.5174603174603175,-1.0,0.0014565645472761765,0.0017857142857142857,0.0,0.0,0.003242278832990462,0.21058343157970746,21058.343157970747
2019-10-07,5.71150016784668,98.98999786376952,1497.699951171875,52.75,17.86,125.1881,113705230.0,156518.0,1.46632,174.07,0.002998509013352071,0.09874379258911066,0.001182920368352212,0.03252688739958566,3.035759043773998,0.0,1.46632,0.0,0.0,5.678712177276611,5.6419364976882935,0.012329750642689602,8.019082485144937,-0.28776138935756934,6.9532999992370605,-0.17859143594072388,-0.005819895639863702,0.004455073560628247,0.0,0.04761904761904767,0.5079365079365079,0.873015873015873,0.39682539682539686,-1.0,-0.002998509013352071,0.0017857142857142857,0.0,0.0,-0.0012127947276377854,0.21032803710415973,21032.803710415974
2019-10-08,5.840000152587891,99.13999938964844,1497.199951171875,52.630001068115234,20.28,125.2197,113705230.0,156518.0,1.46632,174.07,0.022249107388839267,0.12487360821045172,0.00025238830553790003,0.03253141005996211,3.8385550451174377,0.0,1.46632,0.0,0.0,5.683170185089112,5.6447864985466,0.03458300045387956,8.026021776084209,-0.27236676955078604,6.9532999992370605,-0.1601110043822825,0.05830344561310684,0.019250598375487198,0.0,0.0,0.5079365079365079,0.42857142857142855,0.28888888888888886,-1.0,-0.022249107388839267,0.0017857142857142857,0.0,0.0,-0.02046339310312498,0.20602401180028865,20602.401180028864
